"GeneticGroup","GID","MCMDS","DM","BRNHT1","BRLVLS","HI","logFYLD","logTOPYLD","logRTNO","TCHART","LCHROMO","ACHROMO","BCHROMO"
"TMS18","TMS181258P0137_A17901",-0.0721654055296539,1.55322749804042,-2.32801867225491,0.263406080322235,0.0408576541000747,-0.00830286590415667,-0.114042261182882,0.0526896066357536,-0.321739388060464,0.917497378034542,-0.502895165621022,-3.18774606876504
"TMS18","TMS181258P0156_A17909",0.0594777971883719,-0.58204155591731,-2.89728660207362,0.344211449401214,0.0193162824031914,0.167843041277131,0.125914788675403,0.195256613315156,-0.233985139792814,0.00988860377256387,-0.243185782440824,-5.52864468251733
"TMS18","TMS181282P0045_A17907",-0.0963426377559281,0.881792528397146,4.77838201480853,-0.336960894925638,0.0497545594482243,0.127322267143448,-0.0232350304287096,0.21168998310823,-0.410437505126729,1.35335537180771,-1.15102617087825,-5.31762949206308
"TMS18","TMS181310P0098_A17903",-0.406852301496836,1.84943999764314,-0.653120892382484,0.34659720351467,0.0136719471552338,0.0649782198988998,0.171045539866661,0.0810937268809259,-0.134268893144641,0.311559055902957,-0.512464319147478,-2.81894024105344
"TMS18","TMS181313P0041_A17905",-0.721655659945299,4.682552970153,-0.514162824216987,-0.173243889723622,0.0371924702630241,0.21526698042476,0.109738231149375,0.235949262390532,-0.298571048168371,1.08841662514512,-0.783713018597247,-4.42997844944828
"TMS18","TMS181313P0053_A17906",-0.786549633298721,0.205549117147545,4.71051869685912,-0.03168117417819,0.053601187216697,0.230929681036148,0.0940115098430084,0.338355368968025,-0.453534023930254,0.516748027927007,-0.508501543491065,-6.27582087392485
"TMS18","TMS181343P0117_A17900",-0.0574110816232905,-2.70082634380878,-3.57950189991186,-0.190371828138596,0.0186741470918345,-0.0557392895083887,-0.0907944613919795,0.0618778564482755,-0.0598857711893934,-0.497032641895064,-0.0507727752759922,-2.79142215468634
"TMS18","TMS181447P0078_A17902",0.14402119207574,-0.798045101946116,0.342314540123311,0.113750257029727,-0.0211501017887318,0.089181093603551,0.124194506513303,0.161692766774574,0.593839506131911,-1.01954361870174,0.916640805329025,8.84382534973885
"TMS18","TMS181490P0033_A17908",-0.266254308342565,0.263816339676521,-2.95818525439633,-0.0860236144290636,-0.00837401258650079,0.115355098301378,0.0877459539306128,0.134209467662594,-0.0375531511383325,0.228217309306655,-0.135134895968096,-2.91392544766827
"TMS18","TMS18F1001P0002_A17449",-0.170848530181608,-1.49941561513692,-0.792540410874613,-0.243828812242512,0.044932654837094,-0.127798087682282,-0.146357810323888,-0.0622135014385571,-0.0324807440918069,0.446305180233164,-0.316816340597992,-1.52215951786056
