"GeneticGroup","GID","MCMDS","DM","BRNHT1","BRLVLS","HI","logDYLD","logFYLD","logTOPYLD","logRTNO","TCHART","LCHROMO","ACHROMO","BCHROMO","germplasmName","Order","gen","Female_Parent","Male_Parent","Cross_Type","Year_Accession","Year_Female_Parent","Year_Male_Parent","Cycle_Time_Female_Parent _Progeny","Cycle_Time_Male_Parent _Progeny","AverageCT","bval"
"TMS13","2013_0002_1:250162042",-0.283778703932392,-0.730983693573082,3.89195938469116,-0.5790033001693,-0.0568064984160318,0.0238630989771801,-0.160932442589183,0.0888303686957916,-0.0699831534171699,-0.181785875773764,0.859376619774829,-0.682631623314835,-3.832803062619,"TMS13F1002P0001",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_10:250162051",0.0116516266071699,-3.80254261810879,1.95050599310994,-0.31465149149207,-0.025218723874255,-0.0744746190816326,-0.0516079769885744,0.0545775505814878,0.0533422074608106,-0.259917674246762,0.258873303705457,-0.232088713108819,-2.1343984531755,"TMS13F1002P0010",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_11:250162052",-0.63860304254265,-1.88351219292199,-3.697365880563,-0.0968286610785595,-0.0189015029943632,-0.0656203688028317,-0.0812362112494663,0.0538751820459278,-0.0319222723099648,-0.169351927459696,0.378360836215098,-0.403548255634282,-1.32386580611138,"TMS13F1002P0011",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_2:250162043",-0.522280442906004,-2.68972591722758,-3.80316954773632,-0.344739001526552,-0.014695773744002,-0.0431199730452296,-0.140146311118513,0.0253891294583851,-0.107182665879405,-0.136542518285393,0.115196667625466,-0.0928020120560426,-1.2280995673569,"TMS13F1002P0002",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_3:250162044",-0.301721417107627,1.24645210068426,-3.94093291837503,-0.440670455833682,-0.018634577782793,0.0542964149972532,-0.118437865001063,0.0714536859526489,-0.0564179752033987,-0.183464346145481,0.777073040383772,-0.552798331083397,-1.76772895519,"TMS13F1002P0003",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_4:250162045",-0.0482919621013675,-0.484813385041662,-11.8943146178526,-0.286212857098646,-0.0288970030005074,-0.00788556848161681,-0.116608459993648,0.0303459071738393,0.0186870989823805,-0.153017710017672,0.332753154879552,-0.217925896191211,-1.02644758582674,"TMS13F1002P0004",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_5:250162046",-0.382520021148184,-1.99756475312851,-5.19769379888744,-0.203704937909342,-0.0319470988190463,0.0108121414091154,-0.054632721995755,0.126806573058665,0.0674660755688635,-0.284307826825577,0.327226893401584,-0.426448486473722,-1.41314295716411,"TMS13F1002P0005",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_6:250162047",-0.073755080257587,-2.93377350571547,-0.37677692224774,-0.348396629944173,0.0205802431569556,-0.0274039729119674,-0.0346101024041955,0.00785254038529747,0.0653472835593604,-0.261267899688046,0.472950359225253,-0.126929507915372,-2.47444994349589,"TMS13F1002P0006",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_7:250162048",0.63905504757353,-0.11018638916714,4.71891733121073,-0.641438923846226,-0.0406695231006621,0.130436119746838,0.0431108045159385,0.233745235289385,0.0978157856050282,-0.40438867969799,1.48456467180436,-0.589912221618243,-2.98944341938292,"TMS13F1002P0007",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_8:250162049",0.235628337001932,-0.993416327539275,-5.04606067569409,-0.329539919129288,0.0152515558236596,0.122024436017522,0.177680830354821,0.0837924989394409,0.135734760168095,-0.242514153268859,0.311876846852634,-0.388184884893887,-2.208269225778,"TMS13F1002P0008",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
"TMS13","2013_0002_9:250162050",-0.355975156415182,-0.964871414110562,-4.18518894926811,-0.170991954669421,0.0344875061487858,0.0239646982875279,-0.0214768031076646,-0.0332163740759562,0.111116137246439,-0.217844664265538,0.232607863837298,0.0519249748996647,-0.956562273801683,"TMS13F1002P0009",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA
