"GeneticGroup","GID","MCMDS","DM","PLTHT","BRNHT1","BRLVLS","HI","logFYLD","logTOPYLD","logRTNO","TCHART","LCHROMO","ACHROMO","BCHROMO"
"TMS18","TMS181258P0137_A17901",-0.132615750342325,0.455539882293662,-17.4408802609282,-7.0875271762226,0.302306052607865,0.0274984459585076,-0.0180016805477096,-0.0656850797288727,0.0288145116122883,-0.290885104110906,0.864803026616337,-0.0919487484957425,-1.70084869384246
"TMS18","TMS181258P0156_A17909",-0.0976325636387846,0.803349931222093,-10.6446545573573,-6.5899162856449,0.413371562762535,-0.000912982544981728,0.0724453262071908,0.117952484893622,0.0683721323229404,-0.454487802882253,0.0237101538111158,-0.612175794503874,-4.93256984542355
"TMS18","TMS181282P0045_A17907",-0.0659636620132133,1.16791967858275,-7.55518675404649,3.09034913433457,-0.206941081052195,0.0289107601753987,0.0133520242575905,-0.0624936335780039,0.119309717988379,-0.169108790094292,0.831600988934715,-0.910174256057111,-4.48210689577853
"TMS18","TMS181310P0098_A17903",-0.473809699025591,2.17723244167943,4.88408930514583,-4.59414049748446,0.284031860393656,0.0297568624438628,0.16977884874726,0.119456472115952,0.12221565682505,-0.204240501588363,0.222632680365844,-0.299870530123495,-1.61100101707679
"TMS18","TMS181313P0041_A17905",-0.50127217090848,4.33463706607801,-7.98407657071668,-2.81586991134299,-0.161454571524996,0.0486566254093094,0.0418812775605342,-0.0721448903767145,0.0345092055338645,-0.459563766768352,0.775248720871943,-0.782239210744958,-4.27261532008191
"TMS18","TMS181313P0053_A17906",-0.60574559319936,0.16811991964469,-10.6013181345553,-2.33437898898544,-0.108696358477562,0.0546360705537199,0.0897905985105403,-0.0191191104517495,0.139635456830817,-0.693763248862359,0.294372099501715,-0.783498269977106,-5.76708051106668
"TMS18","TMS181343P0117_A17900",0.0825939469747605,-2.1659653139269,-12.9859513249899,-6.53801593605072,-0.190320818604061,0.0398008089053934,-0.0340645462056203,-0.132372645005983,0.0737578202653838,-0.233565882656504,-0.475156425941865,-0.684851136250846,-3.43854968951246
"TMS18","TMS181447P0078_A17902",0.341128451863325,0.209869886037661,1.88945635564764,-1.73538193649632,0.154029155542655,-0.0401802543271029,-0.0227163775309441,0.139416676449348,0.0802551331743605,0.606619802661497,-0.731260831170029,0.808272941651608,5.78326565788785
"TMS18","TMS181490P0033_A17908",-0.128057814098584,0.356745111076565,6.27408334068779,-2.90606764399064,-0.0707697968741875,0.00107394764913488,0.00238318235555213,0.0362609144363,0.0777512397101479,0.0239035820885907,0.164660281885518,-0.341147952492327,-2.06717531667238
"TMS18","TMS18F1001P0002_A17449",-0.0613069797208019,-1.43934213560223,-5.73896198439855,3.87604571594941,-0.24948420517019,0.0642711676444629,0.130153846520588,0.0175343334385039,0.121201531451613,-0.022508694779006,0.5993743266754,-0.514645059436702,-1.02990233946406
