"GeneticGroup","GID","MCMDS","DM","PLTHT","BRNHT1","BRLVLS","HI","logFYLD","logTOPYLD","logRTNO","TCHART","LCHROMO","ACHROMO","BCHROMO"
"TMS14","TMS14F1281P0011:250303914",0.82360813055563,2.50823588473011,9.08245464287474,1.66833739985231,0.317417832284402,-0.0740962478158794,-0.100684937914272,0.0925448307071289,-0.100496047613103,-0.463606621397452,0.471169158119574,-0.446699101637426,-5.20153443894247
"TMS14","TMS14F1281P0012:250303915",0.898217907905259,3.85096621160014,4.38771300224881,5.7744557854073,-0.249923635809643,-0.056158339426474,-0.0254700299605805,0.165193407225859,-0.0857497717744292,-0.42342301428859,0.884611020864498,-0.304981459712632,-4.37365337192114
"TMS14","TMS14F1281P0013:250303916",0.330956078219779,2.43506756027097,7.07890289982509,4.8575366889006,-0.213549721446801,-0.040543132749939,0.00341197881111979,0.165770207622029,0.000253287333379426,-0.4618336662318,0.758638771471264,-0.411451314257815,-4.54018957042802
"TMS14","TMS14F1281P0015:250303949",-0.0492971016649539,1.55243711242403,12.1505329832113,0.561956631258066,0.00101751106934144,-0.00306963763235825,0.045923925376882,0.0693145675153704,-0.0469957303060377,-0.3310098278886,0.807531461799914,-0.236134738150931,-2.52981742845387
"TMS14","TMS14F1281P0016:250303950",0.684366087755058,3.10044863816326,13.9103702975014,9.61031895926251,-0.180775785655046,-0.0423869822215756,-0.0605310005414652,0.0655002036061321,-0.0831014376038545,-0.420571866019435,0.937764417620539,-0.591900666448174,-2.97406836923968
"TMS14","TMS14F1281P0017:250303951",0.263225868035649,0.963220937754655,14.9952804202985,7.89180086625575,-0.225467579902369,-0.0164021481868086,0.0549153188868892,0.0821807592966354,-0.0290665757413911,-0.224726138102237,0.839745295918193,-0.539889767748796,-2.17953969459492
"TMS14","TMS14F1281P0019:250303953",0.182391822048145,0.483327827803997,2.46087250512529,2.42613254191001,-0.1337313595965,-0.0187141957499859,-0.0322969277739988,0.0106668436526718,0.0339470487333977,-0.348669891223756,0.385665642372437,-0.203723151318399,-3.15909730034134
"TMS14","TMS14F1281P0020:250303954",0.391762161232145,-0.387480371954714,8.44076754840134,10.1482997223323,-0.148310089930833,-0.0392723571608542,-0.0114314168482525,0.181183363276763,-0.032397079720242,-0.234953854966785,0.329658771967335,-0.133862851338288,-3.30409601648641
"TMS14","TMS14F1282P0001:250303955",-0.117899050682589,-0.819152217961782,6.35493727108709,9.02480260571543,-0.0517259995392483,0.0466593459502956,0.146926081868493,0.039052291409963,0.150351467625608,0.652880678624342,-1.16283645335156,0.546960586162062,4.32466663377521
"TMS14","TMS14F1282P0005:250303964",-0.100263632557882,-1.61454567659769,-0.308350354115737,6.46117461031024,-0.144480727903517,0.0364237689455586,0.131237763439608,0.0381620172136635,0.126740882993648,-0.167395139024658,-0.319554020198044,-0.189156260806456,-3.93182446783446
